,title,plot
0,The Breach (2022) - full transcript,"Counting down his last days as Chief of Police in the tiny town of Lone Crow, John Hawkins must investigate one last case when a mangled body with uncanny wounds washes up on the shores of the Porcupine River."
1,Justice League: Warworld (2023) - full transcript,"Warworld, a place of unending brutal gladiatorial combat, Batman, Superman, Wonder Woman and others must unite to form an unbeatable resistance to lead the entire planet to freedom."
2,Aval Appadithaan (1978) - full transcript,"The film revolves around a solitary women, her plight and ordeal against evil society."
3,Kaazhcha (2004) - full transcript,Pavan is a boy who reached Kerala after he lost everything in the Gujarat earthquake on Republic Day. Operator Madhavan happens to meet the boy among the beggars. Initially he dislikes the boy but soon the young chap becomes a part of Madhavan's family - until the government decides to send him back to Gujarat. Can the family bear that?
4,The Inbetweeners (2011) - full transcript,"Best friends Will McKenzie, Simon Cooper, Jay Cartwright and Neil Sutherland - who are not among the social outcasts, but also not cool enough to hang out with the cool kids who they aspire to be - have just graduated from their suburban London high school. Simon has finally been able to get Carli D'Amato, who he has been in love with since they were children, to be his girlfriend. Largely because they will be going away to different schools in the fall, Carli breaks up with him. To get Simon's singularly focused mind off Carli, his three best mates decide to take him on vacation for two weeks to get some sun, sand and girls before they move onto the next chapter of their lives in the fall. Neil makes the decision for them to go to Malia on the isle of Crete, a popular summer tourist destination for many a Brit. Jay, with inheritance money in hand, believes he can have the pick of any girl he wants. Neil has to decide what constitutes not cheating on his girlfriend, Nicole. Will wants to add a bit of culture into the vacation. And Simon still pines for Carli, getting her off his mind being more difficult when he learns why Neil chose Malia. What starts off as a disastrous vacation has the potential to pick up when they meet fellow Brits Alison, Lucy, Jane and Lisa, who pair up with Will, Simon, Jay and Neil respectively, and with who they hang, out of circumstance, for much of their time in Malia. Will the virgin, who generally makes Alison laugh, has no chance with her as she is far out of his league, and as she is already in a serious relationship with a Greek waiter named Nicos. Jay is ashamed to be seen with self-assured Jane, because she is overweight. Neil treats Lisa like any other female with who he wants to have non-cheating ""sex"". And Simon may not see that Lucy really does like him despite his singular focus on Carli. All these issues are placed against the backdrop of the guys trying to get tickets for the all-day boat cruise, seen as the party of the season, and at which all their dreams - at least in their dreams - will come true."
5,Love Object (2003) - full transcript,"The twisted tale of Kenneth, socially insecure technical writer who forms an obsessive relationship with ""Nikki"", an anatomically accurate silicone sex doll he orders over the Internet. Because of his experience with his new toy, Kenneth's life takes a turn for the better when his newfound romantic skills attract the attention of Lisa, a co-worker at his office. But when the doll's jealous personality invades his consciousness, Kenneth becomes trapped in a perverse triangle, torn between the dominating, silicone Nikki and the flesh-and-blood Lisa."
6,May-December-January (2022) - full transcript,"Claire and Migoy's relationship is tested when Claire falls in love with Migoy, her son's best friend. This further complicates when it is revealed that Migoy is also secretly in a relationship with the boy who has been calling he..."
7,Kevin Hart: Reality Check (2023) - full transcript,"Things are about to get real in this unforgettable night of comedy. Comedian Kevin Hart is as funny as ever as he processes his growing family, fame, mentions on Black Twitter, and more. Hart returns for his first stand-up special..."
8,Hama no asahi no usotsukidomo to (2021) - full transcript,"Movie theater Asahi-za has existed for almost a 100 years in Minamisoma, Fukushima Prefecture. Unlike other theaters, Asahiza plays old films and doesn't get a lot of customers. The manger of Asahi-za, Yasuzo Morita, finally decid..."
9,Arc (2021) - full transcript,"In the near future, Rina lives as a wanderer, after leaving her child and home town at the age of seventeen. She then meets Ema, head of the BodyWerks division at Eternity, a major cosmetics corporation. BodyWerks are actual body sculptures of the deceased, preserved as if they were living, a technology that is available to the public to overcome their loss of their loved ones. Meanwhile, Ema's rebellious brother and brilliant scientist Amane begins research using this technology to stop aging among the living, granting them immortality. Through Ema and Amane, Rina gains new insights and embarks on a journey to become the first immortal in human history."
10,Invisible Waves (2006) - full transcript,"After killing his boss's girlfriend (with whom he was having an affair) on his boss's orders, a man (Asano) is sent from Macau to Thailand in an attempt to escape the consequences of his crime and to cover it up. But the relocation doesn't prevent his problems from following him, as his new friends could be potential enemies."
11,A Night to Remember (1962) - full transcript,"Seventeen years after the atomic bomb was dropped on Hiroshima, a newspaper reporter looks for the bomb's effects, but everyone seems to have forgotten."
